city,year,gdp_per_capita,gdp_total,disposable_income,population,house_price,housing_burden,housing_sales_area,housing_sales_value,population_growth,university_quality,tertiary_ratio,rd_expenditure,innovation_index,listed_company_count,job_posting_count,entry_salary,rent_monthly,rent_burden
Chengdu,2025,115155.0,24763.6,54363.0,21535000.0,18542.666666666668,0.3410898343849064,,,0.0028406445003259506,31.2,69.9,135.0,135.0,108.0,4832.0,69925.0,2400.0,0.5297720876331329
Wuhan,2021,135251.0,17716.76,55297.0,13648900.000000002,16366.75,0.2959789862017831,,,0.09649975497481478,47.1,62.450527071541295,190.32,190.32,78.0,9307.0,62943.0,2300.0,0.4991229180606543
Wuhan,2022,137772.0,18866.43,58449.0,13739000.0,16562.833333333332,0.2833723987293766,,,0.006601264570771148,47.1,61.87704828099434,177.76,177.76,78.0,6701.0,73158.0,2300.0,0.47220653903402965
Wuhan,2023,145471.0,20011.65,57105.0,13739000.0,16930.833333333332,0.29648600531185243,,,0.0,47.1,63.64472694655363,181.37,181.37,78.0,5992.0,72202.0,2300.0,0.48332019963225636
Wuhan,2024,153037.0,21106.23,59732.0,13809100.0,16595.333333333332,0.2778298622737114,,,0.005102263629085169,47.1,66.40200547421307,200.38,200.38,78.0,5000.0,69552.0,2300.0,0.4620638853545838
Wuhan,2025,159771.38776069658,22147.35,62530.0,13861900.0,15997.75,0.2558411962258116,,,0.0038235656197724843,47.1,68.07324578335557,202.13,202.13,78.0,4829.0,68161.0,2300.0,0.441388133695826
Xi'an,2021,83689.0,10688.28,38701.0,13163000.0,14836.083333333334,0.38335142072125616,,,0.016219756692455123,39.3,61.73650656291597,58.3,58.3,42.0,9307.0,60347.0,2100.0,0.6511459652205369
Xi'an,2022,88806.0,11486.51,40214.0,12995900.0,16562.25,0.4118528373203362,,,-0.012694674466307121,39.3,61.73650656291597,63.9,63.9,42.0,6701.0,70141.0,2100.0,0.6266474362162431
Xi'an,2023,92128.0,12010.76,42818.0,13078200.0,17375.166666666668,0.40579117816494625,,,0.006332766487892272,39.3,8.352344064821876,70.1,70.1,42.0,5992.0,69224.0,2100.0,0.5885375309449297
Xi'an,2024,101485.0,13317.78,45082.0,13167600.0,18182.583333333332,0.403322464250329,,,0.006835803092168691,39.3,68.50758910268829,76.5,76.5,42.0,5000.0,67332.0,2100.0,0.5589814116498825
Xi'an,2025,105308.0,13902.67,46874.0,13236300.0,17386.083333333332,0.3709110238796205,,,0.005217351681399807,39.3,68.50758910268829,84.0,84.0,42.0,4829.0,65985.0,2100.0,0.5376114690446729
Hefei,2021,121187.0,,46009.0,9465000.0,15008.083333333334,0.3261988596434031,,,0.0,25.3,60.4,68.2,68.2,82.0,9387.0,50962.0,2200.0,0.573800778108631
Hefei,2022,125798.0,12013.1,48844.0,9634000.0,15302.833333333334,0.3133001665165288,,,0.017855256207078618,25.3,60.5,78.5,78.5,82.0,6758.0,59233.0,2200.0,0.5404962738514454
Hefei,2023,130074.0,12673.78,52594.0,9853000.0,17101.75,0.3251654181085295,,,0.022731990865684004,25.3,60.6,85.3,85.3,82.0,6024.0,58459.0,2200.0,0.5019583982963837
