source_id,source_type,city,year,url,local_path,is_official_source,fetch_status,notes
src_0109,document,Chengdu,2023,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0110,document,Chengdu,2024,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0111,document,Chengdu,2025,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0112,document,Chongqing,2020,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0113,document,Chongqing,2021,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0114,document,Chongqing,2022,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0115,document,Chongqing,2023,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0116,document,Chongqing,2024,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0117,document,Chongqing,2025,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0118,document,Guangzhou,2020,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0119,document,Guangzhou,2021,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0120,document,Guangzhou,2022,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0121,document,Guangzhou,2023,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0122,document,Guangzhou,2024,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0123,document,Guangzhou,2025,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0124,document,Hangzhou,2020,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0125,document,Hangzhou,2021,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0126,document,Hangzhou,2022,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0127,document,Hangzhou,2023,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0128,document,Hangzhou,2024,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0129,document,Hangzhou,2025,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0130,document,Harbin,2020,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0131,document,Harbin,2021,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
