city,year,house_price,source,source_url,source_file
Xiamen,2021,35469.0,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3792/2021/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Xiamen,2022,34982.833333333336,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3792/2022/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Xiamen,2023,32413.75,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3792/2023/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Xiamen,2024,34576.833333333336,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3792/2024/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Xiamen,2025,36167.25,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3792/2025/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Zhengzhou,2021,17647.25,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3849/2021/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Zhengzhou,2022,17951.666666666668,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3849/2022/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Zhengzhou,2023,16784.833333333332,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3849/2023/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Zhengzhou,2024,16562.666666666668,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3849/2024/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
Zhengzhou,2025,15732.75,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/3849/2025/,/Users/zhanglelong/work/git/urban-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv
